1437,2265,2340,2646,2916,4304,6296,6550
1451,2290,2359,2650,2959,4285,6270,6523
1413,2239,2308,2607,2930,4270,6347,6596
1426,2248,2325,2622,2890,4240,11251,11495
1444,2308,2383,2688,3003,4302,6380,6687
1562,2395,2472,2753,3071,4337,6320,6575
1454,2276,2346,2646,2914,4263,6292,6558
1462,2296,2374,2655,2929,4319,6223,6479
1430,2250,2312,2602,2866,4252,6348,6624
1447,2275,2356,2647,2962,4264,6320,6589
1490,2314,2383,2629,2888,4240,6187,6438
1440,2273,2346,2637,2957,4258,6267,6525
1413,2236,2315,2593,2871,4218,7200,7455
1414,2246,2323,2616,2880,4193,6182,6423
1473,2314,2387,2681,2922,4256,6174,6435
1493,2328,2397,2683,3001,4349,6280,6541
1469,2292,2367,2666,2932,4310,6263,6535
1371,2158,2230,2505,2748,4078,6070,6336
1421,2251,2325,2599,2872,4259,6385,6623
1412,2234,2310,2615,2931,4276,11332,11595
1469,2264,2332,2639,2909,4297,6334,6611
1450,2279,2352,2648,2904,4243,6256,6521
1433,2285,2366,2651,2918,4301,6360,6611
1500,2345,2416,2707,2972,4272,6487,6724
1449,2288,2370,2663,2936,4327,6267,6509
1449,2296,2362,2648,2928,4320,6513,6776
1479,2345,2427,2698,3015,4316,6370,6611
1405,2235,2310,2604,2923,4264,6240,6490
1434,2271,2340,2624,2940,4237,6229,6477
1427,2262,2339,2616,2883,4272,6156,6515
1454,2278,2347,2616,2915,4223,10955,11239
1559,2386,2461,2765,3033,4421,6443,6704
1532,2407,2480,2782,3055,4454,6566,6817
1704,2538,2622,2926,3231,4544,6494,6749
1508,2371,2442,2741,3058,4361,6293,6549
1445,2275,2353,2632,2901,4290,6317,6576
1450,2301,2378,2669,2911,4274,11224,11491
1512,2382,2460,2752,2989,4332,6432,6682
1447,2321,2391,2708,3030,4381,6370,6646
1613,2487,2559,2847,3113,4505,6498,6763
1603,2445,2511,2806,3063,4418,7190,7454
1571,2428,2498,2794,3107,4401,6387,6653
1497,2377,2454,2732,3047,4345,6348,6602
1436,2288,2360,2636,2950,4253,6417,6666
1422,2258,2329,2608,2871,4205,6603,6854
1666,2555,2642,2956,3263,4563,6741,7024
1660,2522,2605,2886,3207,4552,6549,6797
1532,2400,2477,2793,3060,4337,6274,6528
1519,2397,2480,2784,3098,4444,6398,6654
1464,2313,2383,2649,2907,4301,6295,6562
1470,2288,2350,2633,2949,4254,6492,6742
1508,2339,2417,2717,2987,4326,6338,6566
1411,2242,2309,2603,2915,4221,6249,6501
1387,2199,2270,2557,2869,4212,6609,6871
1498,2362,2437,2732,3008,4298,6509,6765
1449,2289,2372,2659,2920,4299,6327,6576
1439,2273,2339,2618,2898,4173,6103,6367
1488,2371,2441,2727,2963,4352,6228,6468
1414,2251,2320,2623,2938,4238,6214,6463
1428,2266,2341,2641,2907,4296,6493,6762
1475,2309,2378,2604,2825,4100,6008,6267
1467,2309,2379,2662,2943,4231,6185,6434
1486,2329,2412,2692,2936,4252,6294,6554
1427,2273,2353,2651,2969,4302,6249,6492
1452,2287,2363,2629,2893,4157,6031,6278
1443,2268,2338,2621,2890,4239,6294,6528
1437,2265,2339,2622,2882,4195,11155,11418
1398,2234,2302,2587,2887,4163,6139,6398
1392,2233,2308,2614,2883,4273,6394,6641
1482,2315,2381,2676,2939,4328,6324,6587
1499,2340,2416,2713,3039,4343,6596,6856
1464,2302,2368,2677,2927,4278,6231,6462
1417,2260,2336,2617,2885,4232,6220,6481
1459,2315,2394,2638,2909,4288,6328,6597
1469,2333,2420,2710,2981,4370,6602,6844
1458,2291,2362,2651,2917,4303,6314,6575
1481,2325,2403,2685,2951,4337,6666,6913
1418,2259,2334,2632,2951,4293,6391,6643
1422,2252,2312,2565,2794,4111,6039,6306
1410,2242,2324,2625,2897,4288,6292,6531
1460,2301,2372,2679,2950,4296,6350,6595
1447,2267,2335,2606,2873,4188,6180,6453
1476,2304,2385,2658,2926,4273,6269,6532
1440,2267,2331,2631,2956,4258,6180,6409
1459,2280,2354,2658,2930,4277,6268,6503
1448,2294,2364,2657,2980,4282,6162,6411
1473,2300,2365,2651,2968,4306,6162,6416
1443,2263,2333,2624,2887,4219,6155,6411
1438,2289,2372,2652,2918,4258,6232,6483
1430,2272,2346,2642,2952,4271,6131,6400
1494,2325,2394,2700,3017,4321,6271,6534
1458,2291,2362,2628,2903,4209,6136,6376
1438,2273,2352,2625,2939,4243,6159,6458
1486,2320,2391,2681,2948,4297,6571,6816
1470,2307,2372,2647,2901,4272,6225,6472
1416,2248,2316,2610,2881,4269,6323,6568
1477,2332,2413,2723,3036,4338,6312,6550
1492,2348,2420,2721,3038,4383,6313,6815
1495,2328,2396,2703,3020,4321,6305,6557
1452,2251,2323,2623,2943,4277,6243,6497
