3027,9401,17891,18765,18980,19236,19518,19990,22286,22511,32992,33880,33927,34163,34456,35143
3075,9490,17958,18844,19046,19248,19577,20113,22354,22602,33065,33950,33994,34235,34569,35124
3066,9425,17902,18789,18966,19174,19475,19966,22073,22319,32795,33653,33696,33927,34208,34839
2992,9328,17806,18678,18873,19120,19408,19940,22193,22406,32897,33768,33811,34045,34341,34981
2994,9317,17780,18652,18846,19088,19348,19800,22045,22277,32738,33635,33676,33922,34259,34807
2951,9275,17770,18662,18829,19075,19407,19891,22001,22287,32741,33633,33669,33885,34256,34875
3015,9380,17891,18807,19004,19263,19524,19999,22072,22296,32779,33659,33701,33953,34268,34870
3029,9386,17875,18762,18905,19119,19361,19858,21973,22212,32683,33557,33592,33838,34172,34802
3015,9422,17890,18792,18959,19202,19499,19923,21978,22223,32684,33559,33597,33830,34154,34716
3003,9375,17876,18778,18963,19222,19383,19888,22086,22325,32796,33660,33710,33954,34186,34788
3034,9394,17883,18776,18949,19191,19466,19932,22018,22235,32701,33586,33636,33880,34165,34745
3036,9363,17831,18714,18908,19162,19373,19837,21919,22157,32613,33481,33519,33768,34135,34682
3067,9445,17929,18827,19007,19260,19540,20004,22461,22702,33177,34050,34099,34349,34664,35283
3024,9347,17822,18703,18882,19097,19394,19928,22133,22354,32842,33714,33764,33987,34277,34912
3077,9464,17930,18815,18997,19236,19567,20056,22287,22538,33000,33883,33913,34158,34416,35042
3100,9460,17926,18808,18998,19244,19532,19966,22038,22267,32740,33626,33672,33892,34269,34848
3066,9446,17951,18826,18981,19192,19525,19974,22086,22305,32767,33646,33686,33925,34186,34780
2982,9297,17783,18667,18837,19045,19329,19795,21704,21936,32419,33285,33333,33575,33841,34441
3016,9357,17834,18708,18892,19139,19365,19868,21940,22158,32650,33516,33557,33795,34198,34801
2983,9322,17775,18640,18786,19013,19231,19704,21792,22022,32497,33376,33416,33659,33937,34557
3020,9372,17866,18760,18943,19173,19478,19984,22213,22441,32908,33776,33817,34023,34393,35038
2967,9296,17769,18662,18814,19039,19335,19824,21955,22186,32641,33496,33544,33783,34124,34742
3171,9574,18054,18929,19100,19324,19581,20078,22086,22316,32778,33670,33706,33954,34283,34839
3032,9373,17851,18734,18916,19133,19369,19882,21973,22213,32677,33550,33595,33833,34136,34792
3073,9379,17880,18767,18953,19202,19473,19897,21969,22208,32681,33563,33606,33851,34174,34738
3014,9353,17841,18723,18919,19156,19440,19928,21974,22199,32666,33540,33587,33832,34139,34751
2942,9294,17763,18649,18834,19080,19370,19818,21929,22155,32624,33501,33547,33770,34034,34642
2976,9311,17801,18684,18872,19111,19379,19891,21935,22170,32656,33534,33568,33798,34133,34747
3044,9388,17881,18761,18944,19193,19410,19915,23298,23532,34003,34915,34959,35234,35500,36138
2986,9398,17899,18799,18969,19212,19534,19979,22192,22420,32914,33787,33830,34075,34344,34906
3067,9416,17895,18799,18986,19225,19486,19952,22047,22286,32751,33629,33674,33901,34194,34834
2968,9330,17821,18716,18917,19169,19444,19879,21931,22176,32659,33530,33572,33805,34106,34742
3021,9412,17900,18784,18961,19212,19539,20026,22450,22689,33171,34055,34098,34307,34627,35257
3024,9373,17847,18730,18916,19123,19453,19907,22204,22447,32917,33782,33828,34053,34346,34949
2974,9349,17842,18722,18899,19116,19324,19859,21877,22109,32589,33464,33511,33755,34106,34667
3133,9487,17963,18857,19009,19251,19538,20028,22166,22409,32868,33770,33800,34046,34384,34942
2948,9277,17750,18640,18829,19058,19332,19799,21959,22201,32702,33584,33619,33862,34226,34847
2950,9737,18226,19112,19295,19506,19870,20304,22555,22779,33245,34138,34172,34395,34759,35368
3040,9409,17889,18778,18966,19178,19514,19959,21899,22140,32615,33505,33551,33806,34153,34724
2938,9270,17755,18625,18789,19031,19254,19750,22081,22310,32787,33666,33714,33932,34179,34768
2973,9381,17874,18753,18912,19156,19378,19877,22134,22366,32841,33708,33750,33957,34292,34856
3030,9387,17855,18745,18944,19195,19437,19904,21952,22173,32665,33586,33635,33890,34274,34898
2984,9347,17829,18705,18897,19136,19457,19924,22052,22286,32761,33651,33688,33930,34199,34850
3070,9381,17869,18764,18954,19188,19400,19902,21926,22166,32649,33524,33568,33810,34142,34745
3099,9453,17932,18824,18994,19234,19469,19989,22153,22408,32861,33724,33765,34001,34285,34922
3084,9468,17950,18839,19029,19260,19542,19996,22085,22315,32779,33654,33700,33952,34222,34821
2965,9325,17810,18687,18870,19114,19344,19847,21938,22174,32665,33543,33592,33850,34080,34699
3085,9414,17912,18823,19020,19270,19587,20077,22263,22509,32965,33841,33889,34129,34473,35119
2985,9355,17836,18710,18893,19133,19425,19837,22052,22297,32777,33668,33716,33964,34286,34934
2990,9351,17828,18705,18890,19125,19362,19877,22309,22539,33049,33956,34003,34311,34647,35213
